Date,Open,High,Low,Close,Volume
1998-06-04,34567,34567,34567,34567,0
1998-06-05,35045,35045,35045,35045,0
1998-06-08,35451,35451,35451,35451,0
1998-06-09,35026,35026,35026,35026,0
1998-06-10,35185,35185,35185,35185,0
1998-06-11,34355,34355,34355,34355,0
1998-06-12,33450,33450,33450,33450,0
1998-06-15,33067,33067,33067,33067,0
1998-06-16,33333,33333,33333,33333,0
1998-06-17,34294,34294,34294,34294,0
1998-06-18,33740,33740,33740,33740,0
1998-06-19,33106,33106,33106,33106,0
1998-06-22,32596,32596,32596,32596,0
1998-06-23,32984,32984,32984,32984,0
1998-06-24,32676,32676,32676,32676,0
1998-06-25,33535,33535,33535,33535,0
1998-06-26,33096,33096,33096,33096,0
1998-06-29,33613,33613,33613,33613,0
1998-06-30,33354,33354,33354,33354,0
1998-07-01,34331,34331,34331,34331,0
1998-07-02,34611,34611,34611,34611,0
1998-07-03,35006,35006,35006,35006,0
1998-07-06,35626,35626,35626,35626,0
1998-07-07,36002,36002,36002,36002,0
1998-07-08,36451,36451,36451,36451,0
1998-07-09,36397,36397,36397,36397,0
1998-07-10,36368,36368,36368,36368,0
1998-07-13,36641,36641,36641,36641,0
1998-07-14,37293,37293,37293,37293,0
1998-07-15,37405,37405,37405,37405,0
1998-07-16,37486,37486,37486,37486,0
1998-07-17,38281,38281,38281,38281,0
1998-07-20,38767,38767,38767,38767,0
1998-07-21,38508,38508,38508,38508,0
1998-07-22,38069,38069,38069,38069,0
1998-07-23,38010,38010,38010,38010,0
1998-07-24,37632,37632,37632,37632,0
1998-07-27,37112,37112,37112,37112,0
1998-07-28,37122,37122,37122,37122,0
1998-07-29,36514,36514,36514,36514,0
1998-07-30,36966,36966,36966,36966,0
1998-07-31,36636,36636,36636,36636,0
1998-08-03,36185,36185,36185,36185,0
1998-08-04,36102,36102,36102,36102,0
1998-08-05,35387,35387,35387,35387,0
1998-08-06,35231,35231,35231,35231,0
1998-08-07,35677,35677,35677,35677,0
1998-08-10,35080,35080,35080,35080,0
1998-08-11,34101,34101,34101,34101,0
1998-08-12,34601,34601,34601,34601,0
1998-08-13,34597,34597,34597,34597,0
1998-08-14,35292,35292,35292,35292,0
1998-08-17,35670,35670,35670,35670,0
1998-08-18,36544,36544,36544,36544,0
1998-08-19,36107,36107,36107,36107,0
1998-08-20,35853,35853,35853,35853,0
1998-08-21,34379,34379,34379,34379,0
1998-08-24,34484,34484,34484,34484,0
1998-08-25,35441,35441,35441,35441,0
1998-08-26,34565,34565,34565,34565,0
1998-08-27,32984,32984,32984,32984,0
1998-08-28,32093,32093,32093,32093,0
1998-08-31,31534,31534,31534,31534,0
1998-09-01,30612,30612,30612,30612,0
1998-09-02,31405,31405,31405,31405,0
1998-09-03,30395,30395,30395,30395,0
1998-09-04,30207,30207,30207,30207,0
1998-09-07,31041,31041,31041,31041,0
1998-09-08,31834,31834,31834,31834,0
1998-09-09,30802,30802,30802,30802,0
1998-09-10,29128,29128,29128,29128,0
1998-09-11,28345,28345,28345,28345,0
1998-09-14,29748,29748,29748,29748,0
1998-09-15,29555,29555,29555,29555,0
1998-09-16,30138,30138,30138,30138,0
1998-09-17,28447,28447,28447,28447,0
1998-09-18,28381,28381,28381,28381,0
1998-09-21,26847,26847,26847,26847,0
1998-09-22,27950,27950,27950,27950,0
1998-09-23,28438,28438,28438,28438,0
1998-09-24,28101,28101,28101,28101,0
1998-09-25,27515,27515,27515,27515,0
1998-09-28,28906,28906,28906,28906,0
1998-09-29,28779,28779,28779,28779,0
1998-09-30,27879,27879,27879,27879,0
1998-10-01,26610,26610,26610,26610,0
1998-10-02,26517,26517,26517,26517,0
1998-10-05,25441,25441,25441,25441,0
1998-10-06,26749,26749,26749,26749,0
1998-10-07,26210,26210,26210,26210,0
1998-10-08,24987,24987,24987,24987,0
1998-10-09,24860,24860,24860,24860,0
1998-10-12,26661,26661,26661,26661,0
1998-10-13,26822,26822,26822,26822,0
1998-10-14,28120,28120,28120,28120,0
1998-10-15,28030,28030,28030,28030,0
1998-10-16,28904,28904,28904,28904,0
1998-10-19,29067,29067,29067,29067,0
1998-10-20,29904,29904,29904,29904,0
1998-10-21,29126,29126,29126,29126,0
1998-10-22,28823,28823,28823,28823,0
1998-10-23,29372,29372,29372,29372,0
1998-10-26,29819,29819,29819,29819,0
1998-10-27,30192,30192,30192,30192,0
1998-10-28,29189,29189,29189,29189,0
1998-10-29,29111,29111,29111,29111,0
1998-10-30,29670,29670,29670,29670,0
1998-11-02,30312,30312,30312,30312,0
1998-11-03,30165,30165,30165,30165,0
1998-11-04,31049,31049,31049,31049,0
1998-11-05,30617,30617,30617,30617,0
1998-11-06,30795,30795,30795,30795,0
1998-11-09,30302,30302,30302,30302,0
1998-11-10,30107,30107,30107,30107,0
1998-11-11,30575,30575,30575,30575,0
1998-11-12,30807,30807,30807,30807,0
1998-11-13,30826,30826,30826,30826,0
1998-11-16,31429,31429,31429,31429,0
1998-11-17,31234,31234,31234,31234,0
1998-11-18,30961,30961,30961,30961,0
1998-11-19,31590,31590,31590,31590,0
1998-11-20,32166,32166,32166,32166,0
1998-11-23,33062,33062,33062,33062,0
1998-11-24,32622,32622,32622,32622,0
1998-11-25,33047,33047,33047,33047,0
1998-11-26,33862,33862,33862,33862,0
1998-11-27,34108,34108,34108,34108,0
1998-11-30,33257,33257,33257,33257,0
1998-12-01,31876,31876,31876,31876,0
1998-12-02,31700,31700,31700,31700,0
1998-12-03,32276,32276,32276,32276,0
1998-12-04,32630,32630,32630,32630,0
1998-12-07,32691,32691,32691,32691,0
1998-12-09,32588,32588,32588,32588,0
1998-12-10,32566,32566,32566,32566,0
1998-12-11,32078,32078,32078,32078,0
1998-12-14,32264,32264,32264,32264,0
1998-12-15,32498,32498,32498,32498,0
1998-12-16,32618,32618,32618,32618,0
1998-12-17,32779,32779,32779,32779,0
1998-12-18,32581,32581,32581,32581,0
1998-12-21,33891,33891,33891,33891,0
1998-12-22,34006,34006,34006,34006,0
1998-12-23,34482,34482,34482,34482,0
1998-12-28,35460,35460,35460,35460,0
1998-12-29,35407,35407,35407,35407,0
1998-12-30,35426,35426,35426,35426,0
1999-01-04,37703,37703,37703,37703,0
1999-01-05,38179,38179,38179,38179,0
1999-01-07,38323,38323,38323,38323,0
1999-01-08,38130,38130,38130,38130,0
1999-01-11,37220,37220,37220,37220,0
1999-01-12,36341,36341,36341,36341,0
1999-01-13,34816,34816,34816,34816,0
1999-01-14,34826,34826,34826,34826,0
1999-01-15,35797,35797,35797,35797,0
1999-01-18,36610,36610,36610,36610,0
1999-01-19,35934,35934,35934,35934,0
1999-01-20,36248,36248,36248,36248,0
1999-01-21,35465,35465,35465,35465,0
1999-01-22,34621,34621,34621,34621,0
1999-01-25,34528,34528,34528,34528,0
1999-01-26,34811,34811,34811,34811,0
1999-01-27,34826,34826,34826,34826,0
1999-01-28,35490,35490,35490,35490,0
1999-01-29,35687,35687,35687,35687,0
1999-02-01,36234,36234,36234,36234,0
1999-02-02,35824,35824,35824,35824,0
1999-02-03,35368,35368,35368,35368,0
1999-02-04,35290,35290,35290,35290,0
1999-02-05,35224,35224,35224,35224,0
1999-02-08,34582,34582,34582,34582,0
1999-02-09,33450,33450,33450,33450,0
1999-02-10,33965,33965,33965,33965,0
1999-02-11,34604,34604,34604,34604,0
1999-02-12,34955,34955,34955,34955,0
1999-02-15,35336,35336,35336,35336,0
1999-02-16,34833,34833,34833,34833,0
1999-02-17,34719,34719,34719,34719,0
1999-02-18,34982,34982,34982,34982,0
1999-02-19,35658,35658,35658,35658,0
1999-02-22,36822,36822,36822,36822,0
1999-02-23,36658,36658,36658,36658,0
1999-02-24,37320,37320,37320,37320,0
1999-02-25,36339,36339,36339,36339,0
1999-02-26,36339,36339,36339,36339,0
1999-03-01,36141,36141,36141,36141,0
1999-03-02,36065,36065,36065,36065,0
1999-03-03,35485,35485,35485,35485,0
1999-03-04,36449,36449,36449,36449,0
1999-03-05,37615,37615,37615,37615,0
1999-03-08,37024,37024,37024,37024,0
1999-03-09,37627,37627,37627,37627,0
1999-03-10,38198,38198,38198,38198,0
1999-03-11,38298,38298,38298,38298,0
1999-03-12,37757,37757,37757,37757,0
1999-03-15,38242,38242,38242,38242,0
1999-03-16,37981,37981,37981,37981,0
1999-03-17,37905,37905,37905,37905,0
1999-03-18,38240,38240,38240,38240,0
1999-03-19,38489,38489,38489,38489,0
1999-03-22,38054,38054,38054,38054,0
1999-03-23,37408,37408,37408,37408,0
1999-03-24,37076,37076,37076,37076,0
1999-03-25,37683,37683,37683,37683,0
1999-03-26,37349,37349,37349,37349,0
1999-03-29,38054,38054,38054,38054,0
1999-03-30,38191,38191,38191,38191,0
1999-03-31,38601,38601,38601,38601,0
1999-04-01,38130,38130,38130,38130,0
1999-04-06,38535,38535,38535,38535,0
1999-04-07,38447,38447,38447,38447,0
1999-04-08,38593,38593,38593,38593,0
1999-04-09,38142,38142,38142,38142,0
1999-04-12,38328,38328,38328,38328,0
1999-04-13,38642,38642,38642,38642,0
1999-04-14,38398,38398,38398,38398,0
1999-04-15,38164,38164,38164,38164,0
1999-04-16,38254,38254,38254,38254,0
1999-04-19,38471,38471,38471,38471,0
1999-04-20,38162,38162,38162,38162,0
1999-04-21,38406,38406,38406,38406,0
1999-04-22,38306,38306,38306,38306,0
1999-04-23,38310,38310,38310,38310,0
1999-04-26,37949,37949,37949,37949,0
1999-04-27,38750,38750,38750,38750,0
1999-04-28,38450,38450,38450,38450,0
1999-04-29,38279,38279,38279,38279,0
1999-04-30,38679,38679,38679,38679,0
1999-05-03,38735,38735,38735,38735,0
1999-05-04,38696,38696,38696,38696,0
1999-05-05,38447,38447,38447,38447,0
1999-05-06,38237,38237,38237,38237,0
1999-05-07,38049,38049,38049,38049,0
1999-05-10,38018,38018,38018,38018,0
1999-05-11,37637,37637,37637,37637,0
1999-05-12,37234,37234,37234,37234,0
1999-05-13,37549,37549,37549,37549,0
1999-05-14,36727,36727,36727,36727,0
1999-05-17,35929,35929,35929,35929,0
1999-05-18,36541,36541,36541,36541,0
1999-05-19,37432,37432,37432,37432,0
1999-05-20,37464,37464,37464,37464,0
1999-05-21,37737,37737,37737,37737,0
1999-05-24,37295,37295,37295,37295,0
1999-05-25,37234,37234,37234,37234,0
1999-05-26,37444,37444,37444,37444,0
1999-05-27,36883,36883,36883,36883,0
1999-05-28,36873,36873,36873,36873,0
1999-05-31,37088,37088,37088,37088,0
1999-06-01,36729,36729,36729,36729,0
1999-06-02,36580,36580,36580,36580,0
1999-06-03,37098,37098,37098,37098,0
1999-06-04,36973,36973,36973,36973,0
1999-06-07,37122,37122,37122,37122,0
1999-06-08,37251,37251,37251,37251,0
1999-06-09,37227,37227,37227,37227,0
1999-06-10,36871,36871,36871,36871,0
1999-06-11,36878,36878,36878,36878,0
1999-06-14,36402,36402,36402,36402,0
1999-06-15,36493,36493,36493,36493,0
1999-06-16,36927,36927,36927,36927,0
1999-06-17,36978,36978,36978,36978,0
1999-06-18,37312,37312,37312,37312,0
1999-06-21,37329,37329,37329,37329,0
1999-06-22,37146,37146,37146,37146,0
1999-06-23,37168,37168,37168,37168,0
1999-06-24,37110,37110,37110,37110,0
1999-06-25,36754,36754,36754,36754,0
1999-06-28,36751,36751,36751,36751,0
1999-06-29,36827,36827,36827,36827,0
1999-06-30,36717,36717,36717,36717,0
1999-07-01,37103,37103,37103,37103,0
1999-07-02,37137,37137,37137,37137,0
1999-07-05,37830,37830,37830,37830,0
1999-07-06,38101,38101,38101,38101,0
1999-07-07,38083,38083,38083,38083,0
1999-07-08,38240,38240,38240,38240,0
1999-07-09,38318,38318,38318,38318,0
1999-07-12,38130,38130,38130,38130,0
1999-07-13,37500,37500,37500,37500,0
1999-07-14,37666,37666,37666,37666,0
1999-07-15,37859,37859,37859,37859,0
1999-07-16,37634,37634,37634,37634,0
1999-07-19,37444,37444,37444,37444,0
1999-07-20,36668,36668,36668,36668,0
1999-07-21,35873,35873,35873,35873,0
1999-07-22,35729,35729,35729,35729,0
1999-07-23,35216,35216,35216,35216,0
1999-07-26,34474,34474,34474,34474,0
1999-07-27,34579,34579,34579,34579,0
1999-07-28,34209,34209,34209,34209,0
1999-07-29,33281,33281,33281,33281,0
1999-07-30,34040,34040,34040,34040,0
1999-08-02,34404,34404,34404,34404,0
1999-08-03,34252,34252,34252,34252,0
1999-08-04,34008,34008,34008,34008,0
1999-08-05,33284,33284,33284,33284,0
1999-08-06,33045,33045,33045,33045,0
1999-08-09,33584,33584,33584,33584,0
1999-08-10,33074,33074,33074,33074,0
1999-08-11,33228,33228,33228,33228,0
1999-08-12,34096,34096,34096,34096,0
1999-08-13,34487,34487,34487,34487,0
1999-08-16,34562,34562,34562,34562,0
1999-08-17,35024,35024,35024,35024,0
1999-08-18,34714,34714,34714,34714,0
1999-08-19,34421,34421,34421,34421,0
1999-08-20,34770,34770,34770,34770,0
1999-08-23,35333,35333,35333,35333,0
1999-08-24,35619,35619,35619,35619,0
1999-08-25,36048,36048,36048,36048,0
1999-08-26,36239,36239,36239,36239,0
1999-08-27,36192,36192,36192,36192,0
1999-08-30,36002,36002,36002,36002,0
1999-08-31,35199,35199,35199,35199,0
1999-09-01,35470,35470,35470,35470,0
1999-09-02,34789,34789,34789,34789,0
1999-09-03,35616,35616,35616,35616,0
1999-09-06,35856,35856,35856,35856,0
1999-09-07,35538,35538,35538,35538,0
1999-09-08,35763,35763,35763,35763,0
1999-09-09,35821,35821,35821,35821,0
1999-09-10,36124,36124,36124,36124,0
1999-09-13,35926,35926,35926,35926,0
1999-09-14,35680,35680,35680,35680,0
1999-09-15,35751,35751,35751,35751,0
1999-09-16,35751,35751,35751,35751,0
1999-09-17,35843,35843,35843,35843,0
1999-09-20,35924,35924,35924,35924,0
1999-09-21,35814,35814,35814,35814,0
1999-09-22,35831,35831,35831,35831,0
1999-09-23,36097,36097,36097,36097,0
1999-09-24,36000,36000,36000,36000,0
1999-09-27,36014,36014,36014,36014,0
1999-09-28,35836,35836,35836,35836,0
1999-09-29,35351,35351,35351,35351,0
1999-09-30,35270,35270,35270,35270,0
1999-10-01,35255,35255,35255,35255,0
1999-10-04,35480,35480,35480,35480,0
1999-10-05,35421,35421,35421,35421,0
1999-10-06,35514,35514,35514,35514,0
1999-10-07,35541,35541,35541,35541,0
1999-10-08,35338,35338,35338,35338,0
1999-10-11,35194,35194,35194,35194,0
1999-10-12,34548,34548,34548,34548,0
1999-10-13,34216,34216,34216,34216,0
1999-10-14,34011,34011,34011,34011,0
1999-10-15,33362,33362,33362,33362,0
1999-10-18,32874,32874,32874,32874,0
1999-10-19,33503,33503,33503,33503,0
1999-10-20,33333,33333,33333,33333,0
1999-10-21,33203,33203,33203,33203,0
1999-10-22,33779,33779,33779,33779,0
1999-10-25,33335,33335,33335,33335,0
1999-10-26,33415,33415,33415,33415,0
1999-10-27,33396,33396,33396,33396,0
1999-10-28,34084,34084,34084,34084,0
1999-10-29,34228,34228,34228,34228,0
1999-11-02,34060,34060,34060,34060,0
1999-11-03,34074,34074,34074,34074,0
1999-11-04,34514,34514,34514,34514,0
1999-11-05,34333,34333,34333,34333,0
1999-11-08,34272,34272,34272,34272,0
1999-11-09,34655,34655,34655,34655,0
1999-11-10,34841,34841,34841,34841,0
1999-11-11,35075,35075,35075,35075,0
1999-11-12,34853,34853,34853,34853,0
1999-11-15,35148,35148,35148,35148,0
1999-11-16,35304,35304,35304,35304,0
1999-11-17,35031,35031,35031,35031,0
1999-11-18,35431,35431,35431,35431,0
1999-11-19,35575,35575,35575,35575,0
1999-11-22,35419,35419,35419,35419,0
1999-11-23,35382,35382,35382,35382,0
1999-11-24,35646,35646,35646,35646,0
1999-11-25,36207,36207,36207,36207,0
1999-11-26,36190,36190,36190,36190,0
1999-11-29,36595,36595,36595,36595,0
1999-11-30,36334,36334,36334,36334,0
1999-12-01,36834,36834,36834,36834,0
1999-12-02,36773,36773,36773,36773,0
1999-12-03,37403,37403,37403,37403,0
1999-12-06,37600,37600,37600,37600,0
1999-12-07,37940,37940,37940,37940,0
1999-12-08,38579,38579,38579,38579,0
1999-12-09,38550,38550,38550,38550,0
1999-12-10,38432,38432,38432,38432,0
1999-12-13,39164,39164,39164,39164,0
1999-12-14,39530,39530,39530,39530,0
1999-12-15,39055,39055,39055,39055,0
1999-12-16,39452,39452,39452,39452,0
1999-12-17,39738,39738,39738,39738,0
1999-12-20,40446,40446,40446,40446,0
1999-12-21,39613,39613,39613,39613,0
1999-12-22,40592,40592,40592,40592,0
1999-12-23,41297,41297,41297,41297,0
1999-12-27,41817,41817,41817,41817,0
1999-12-28,42351,42351,42351,42351,0
1999-12-29,42473,42473,42473,42473,0
1999-12-30,42605,42605,42605,42605,0
2000-01-03,41226,41226,41226,41226,0
2000-01-04,40314,40314,40314,40314,0
2000-01-05,39452,39452,39452,39452,0
2000-01-06,38835,38835,38835,38835,0
2000-01-07,40194,40194,40194,40194,0
2000-01-10,39711,39711,39711,39711,0
2000-01-11,39870,39870,39870,39870,0
2000-01-12,40289,40289,40289,40289,0
2000-01-13,40499,40499,40499,40499,0
2000-01-14,41588,41588,41588,41588,0
2000-01-17,41546,41546,41546,41546,0
2000-01-18,41109,41109,41109,41109,0
2000-01-19,41436,41436,41436,41436,0
2000-01-20,41690,41690,41690,41690,0
2000-01-21,41702,41702,41702,41702,0
2000-01-24,42012,42012,42012,42012,0
2000-01-25,41165,41165,41165,41165,0
2000-01-26,41361,41361,41361,41361,0
2000-01-27,41939,41939,41939,41939,0
2000-01-28,41854,41854,41854,41854,0
2000-01-31,41463,41463,41463,41463,0
2000-02-01,42403,42403,42403,42403,0
2000-02-02,42993,42993,42993,42993,0
2000-02-03,43889,43889,43889,43889,0
2000-02-04,44091,44091,44091,44091,0
2000-02-07,43730,43730,43730,43730,0
2000-02-08,45150,45150,45150,45150,0
2000-02-09,45101,45101,45101,45101,0
2000-02-10,45785,45785,45785,45785,0
2000-02-11,46878,46878,46878,46878,0
2000-02-14,47395,47395,47395,47395,0
2000-02-15,45726,45726,45726,45726,0
2000-02-16,46446,46446,46446,46446,0
2000-02-17,46807,46807,46807,46807,0
2000-02-18,46602,46602,46602,46602,0
2000-02-21,46014,46014,46014,46014,0
2000-02-22,46034,46034,46034,46034,0
2000-02-23,47134,47134,47134,47134,0
2000-02-24,46907,46907,46907,46907,0
2000-02-25,48235,48235,48235,48235,0
2000-02-28,47746,47746,47746,47746,0
2000-02-29,48479,48479,48479,48479,0
2000-03-01,48676,48676,48676,48676,0
2000-03-02,49464,49464,49464,49464,0
2000-03-03,49169,49169,49169,49169,0
2000-03-06,50109,50109,50109,50109,0
2000-03-07,48925,48925,48925,48925,0
2000-03-08,48810,48810,48810,48810,0
2000-03-09,49233,49233,49233,49233,0
2000-03-10,49355,49355,49355,49355,0
2000-03-13,48208,48208,48208,48208,0
2000-03-14,48181,48181,48181,48181,0
2000-03-15,46692,46692,46692,46692,0
2000-03-16,47485,47485,47485,47485,0
2000-03-17,48125,48125,48125,48125,0
2000-03-20,47354,47354,47354,47354,0
2000-03-21,46756,46756,46756,46756,0
2000-03-22,45921,45921,45921,45921,0
2000-03-23,45938,45938,45938,45938,0
2000-03-24,47258,47258,47258,47258,0
2000-03-27,47051,47051,47051,47051,0
2000-03-28,46827,46827,46827,46827,0
2000-03-29,46839,46839,46839,46839,0
2000-03-30,45616,45616,45616,45616,0
2000-03-31,45392,45392,45392,45392,0
2000-04-03,44218,44218,44218,44218,0
2000-04-04,44987,44987,44987,44987,0
2000-04-05,43815,43815,43815,43815,0
2000-04-06,45060,45060,45060,45060,0
2000-04-07,45275,45275,45275,45275,0
2000-04-10,45206,45206,45206,45206,0
2000-04-11,44123,44123,44123,44123,0
2000-04-12,44511,44511,44511,44511,0
2000-04-13,44616,44616,44616,44616,0
2000-04-14,43449,43449,43449,43449,0
2000-04-17,42651,42651,42651,42651,0
2000-04-18,43003,43003,43003,43003,0
2000-04-19,43061,43061,43061,43061,0
2000-04-20,44077,44077,44077,44077,0
2000-04-25,44621,44621,44621,44621,0
2000-04-26,44606,44606,44606,44606,0
2000-04-27,44206,44206,44206,44206,0
2000-04-28,44801,44801,44801,44801,0
2000-05-02,46168,46168,46168,46168,0
2000-05-03,45226,45226,45226,45226,0
2000-05-04,45968,45968,45968,45968,0
2000-05-05,45980,45980,45980,45980,0
2000-05-08,45672,45672,45672,45672,0
2000-05-09,44967,44967,44967,44967,0
2000-05-10,44879,44879,44879,44879,0
2000-05-11,45292,45292,45292,45292,0
2000-05-12,45707,45707,45707,45707,0
2000-05-15,45689,45689,45689,45689,0
2000-05-16,46568,46568,46568,46568,0
2000-05-17,45492,45492,45492,45492,0
2000-05-18,45941,45941,45941,45941,0
2000-05-19,44325,44325,44325,44325,0
2000-05-22,43100,43100,43100,43100,0
2000-05-23,44172,44172,44172,44172,0
2000-05-24,43635,43635,43635,43635,0
2000-05-25,44594,44594,44594,44594,0
2000-05-26,44633,44633,44633,44633,0
2000-05-29,45062,45062,45062,45062,0
2000-05-30,45589,45589,45589,45589,0
2000-05-31,45214,45214,45214,45214,0
2000-06-01,45999,45999,45999,45999,0
2000-06-02,46365,46365,46365,46365,0
2000-06-05,46077,46077,46077,46077,0
2000-06-06,45675,45675,45675,45675,0
2000-06-07,46275,46275,46275,46275,0
2000-06-08,46024,46024,46024,46024,0
2000-06-09,46260,46260,46260,46260,0
2000-06-12,46055,46055,46055,46055,0
2000-06-13,46258,46258,46258,46258,0
2000-06-14,46756,46756,46756,46756,0
2000-06-15,46773,46773,46773,46773,0
2000-06-16,45904,45904,45904,45904,0
2000-06-19,45841,45841,45841,45841,0
2000-06-20,46038,46038,46038,46038,0
2000-06-21,45704,45704,45704,45704,0
2000-06-22,45372,45372,45372,45372,0
2000-06-23,45909,45909,45909,45909,0
2000-06-26,45985,45985,45985,45985,0
2000-06-27,45802,45802,45802,45802,0
2000-06-28,46368,46368,46368,46368,0
2000-06-29,45699,45699,45699,45699,0
2000-06-30,46448,46448,46448,46448,0
2000-07-03,46729,46729,46729,46729,0
2000-07-04,46551,46551,46551,46551,0
2000-07-05,46607,46607,46607,46607,0
2000-07-06,46922,46922,46922,46922,0
2000-07-07,47656,47656,47656,47656,0
2000-07-10,47583,47583,47583,47583,0
2000-07-11,47922,47922,47922,47922,0
2000-07-12,47842,47842,47842,47842,0
2000-07-13,48056,48056,48056,48056,0
2000-07-14,47832,47832,47832,47832,0
2000-07-17,47871,47871,47871,47871,0
2000-07-18,47637,47637,47637,47637,0
2000-07-19,47715,47715,47715,47715,0
2000-07-20,48215,48215,48215,48215,0
2000-07-21,47803,47803,47803,47803,0
2000-07-24,47488,47488,47488,47488,0
2000-07-25,47549,47549,47549,47549,0
2000-07-26,47063,47063,47063,47063,0
2000-07-27,46256,46256,46256,46256,0
2000-07-28,45780,45780,45780,45780,0
2000-07-31,46309,46309,46309,46309,0
2000-08-01,46185,46185,46185,46185,0
2000-08-02,46246,46246,46246,46246,0
2000-08-03,45606,45606,45606,45606,0
2000-08-04,45789,45789,45789,45789,0
2000-08-07,46861,46861,46861,46861,0
2000-08-08,47202,47202,47202,47202,0
2000-08-09,47498,47498,47498,47498,0
2000-08-10,47627,47627,47627,47627,0
2000-08-11,47354,47354,47354,47354,0
